Koch2011,10,5.795454545454546
Koch2011,50,6.75
Koch2011,100,8.316287878787879
Koch2011,500,15.933333333333334
Koch2011,1000,21
Koch2011,200,10.789115646258503
Camacho2010,10,5.715909090909091
Camacho2010,50,8.246212121212121
Camacho2010,100,10.606060606060606
Camacho2010,500,21.6
Camacho2010,1000,29.270833333333332
Camacho2010,200,14.036281179138323
Tirodkar2017,10,4.863636363636363
Tirodkar2017,50,5.204545454545454
Tirodkar2017,100,6.0227272727272725
Tirodkar2017,200,7.566893424036281
Tirodkar2017,500,13.25925925925926
