Schiermeyer2013,10,10,5,6,7,7,7,5,7,6,7,7,8,7
Schiermeyer2013,10,20,5,6,6,5,5,5,7,6,5,7,6,5
Schiermeyer2013,10,30,5,6,6,6,6,6,6,5,6,7,7,6
Schiermeyer2013,10,40,5,6,6,6,6,6,8,5,7,4,5,6
Schiermeyer2013,10,50,5,4,6,6,5,5,7,6,6,5,5,6
Schiermeyer2013,10,60,5,5,6,5,5,6,6,5,6,6,5,6
Schiermeyer2013,10,70,5,5,5,5,6,5,6,6,5,6,6,5
Schiermeyer2013,10,80,5,5,6,5,6,6,6,5,6,6,5,5
Schiermeyer2013,50,10,5,6,6,7,7,7,6,7,6,6,7,6
Schiermeyer2013,50,10,6,7,7,8,7,8,7,6,7,7,8,8
Schiermeyer2013,50,10,7,9,8,9,9,10,10,9,9,9,8,9
Schiermeyer2013,50,20,5,6,6,6,6,6,6,6,6,6,6,7
Schiermeyer2013,50,20,6,7,7,6,7,7,7,7,7,7,6,7
Schiermeyer2013,50,20,7,9,8,9,8,7,8,8,8,8,8,8
Schiermeyer2013,50,30,5,5,6,6,5,6,6,6,6,7,6,6
Schiermeyer2013,50,30,6,5,7,7,7,6,7,7,7,7,6,7
Schiermeyer2013,50,30,7,8,8,7,8,8,8,7,9,8,8,8
Schiermeyer2013,50,40,5,5,6,6,5,5,6,5,6,6,6,6
Schiermeyer2013,50,40,6,6,7,7,6,4,7,8,7,6,7,7
Schiermeyer2013,50,40,7,7,8,7,7,9,8,7,8,8,7,8
Schiermeyer2013,50,50,5,4,6,6,6,6,6,6,6,6,5,6
Schiermeyer2013,50,50,6,6,6,7,7,6,6,7,7,7,7,6
Schiermeyer2013,50,50,7,6,7,6,7,8,6,7,9,8,7,8
Schiermeyer2013,50,60,5,5,6,6,6,6,6,5,6,5,6,6
Schiermeyer2013,50,60,6,6,6,6,7,6,6,7,7,6,7,6
Schiermeyer2013,50,60,7,6,8,8,7,7,6,7,8,8,8,7
Schiermeyer2013,50,70,5,5,6,6,6,5,6,6,5,5,6,6
Schiermeyer2013,50,70,6,6,6,6,6,6,7,7,5,6,6,5
Schiermeyer2013,50,70,7,7,7,6,8,7,7,8,7,8,7,8
Schiermeyer2013,50,80,5,5,6,6,6,6,5,6,6,6,6,6
Schiermeyer2013,50,80,6,6,6,5,7,7,6,7,7,7,6,6
Schiermeyer2013,50,80,7,7,7,8,7,8,9,8,7,8,8,7
